"v"	"v2"	"first"	"second"	"palindromatic"
"bows"	"swob"	39238	314635	FALSE
"brad"	"darb"	39549	76888	FALSE
"brag"	"garb"	39621	122059	FALSE
"bray"	"yarb"	39696	145723	FALSE
"braw"	"warb"	40116	362536	FALSE
"brey"	"yerb"	40426	146902	FALSE
"brev"	"verb"	40477	358358	FALSE
"bro"	"orb"	41036	214024	FALSE
"brog"	"gorb"	41157	128043	FALSE
"bros"	"sorb"	41561	297495	FALSE
"brut"	"turb"	41853	332554	FALSE
"bruted"	"deturb"	41875	83336	FALSE
"bs"	"sb"	41897	279271	FALSE
"bt"	"tb"	41901	317380	FALSE
"bub"	"bub"	41910	41910	TRUE
"bud"	"dub"	42136	93671	FALSE
"bul"	"lub"	42392	175729	FALSE
"bun"	"nub"	42784	209259	FALSE
"bunk"	"knub"	42882	165741	FALSE
"buns"	"snub"	42921	295878	FALSE
"bur"	"rub"	42967	275081	FALSE
"burd"	"drub"	42992	93476	FALSE
"burg"	"grub"	43045	130454	FALSE
"burt"	"trub"	43346	331455	FALSE
"bus"	"sub"	43365	307056	FALSE
"but"	"tub"	43552	331841	FALSE
"buts"	"stub"	43652	306720	FALSE
"bv"	"vb"	43824	357600	FALSE
"c"	"c"	43831	43831	TRUE
"caf"	"fac"	44465	108929	FALSE
"cal"	"lac"	44694	166816	FALSE
"cam"	"mac"	45539	176614	FALSE
"camus"	"sumac"	45961	310872	FALSE
"cap"	"pac"	46750	222559	FALSE
"cares"	"serac"	47941	285890	FALSE
"cars"	"srac"	48578	302112	FALSE
"cart"	"trac"	48589	327023	FALSE
"cav"	"vac"	50127	356332	FALSE
"caw"	"wac"	50264	361683	FALSE
"cc"	"cc"	50286	50286	TRUE
"cd"	"dc"	50296	77396	FALSE
"ce"	"ec"	50300	95073	FALSE
"cele"	"elec"	50443	96863	FALSE
"ceps"	"spec"	51220	298742	FALSE
"cf"	"fc"	51812	110571	FALSE
"cyc"	"cyc"	56972	56972	TRUE
"cyl"	"lyc"	57360	171593	FALSE
"cir"	"ric"	57953	272496	FALSE
"circ"	"cric"	57955	72895	FALSE
"cire"	"eric"	58306	103659	FALSE
"cires"	"seric"	58310	286068	FALSE
"cis"	"sic"	58389	289554	FALSE
"cit"	"tic"	58591	323193	FALSE
"civ"	"vic"	58898	359341	FALSE
"civic"	"civic"	58905	58905	TRUE
"ck"	"kc"	58969	163468	FALSE
"cl"	"lc"	58971	169484	FALSE
"clat"	"talc"	59450	315557	FALSE
"cm"	"mc"	60761	181653	FALSE
